"","DateTime","UserId","Operation","Parameters","ValueBefore","ValueAfter","Duration"
"1","2019-01-20 15:18:57",1,"Training the model","Method: SVM, Cost = 4, Type =C-classification, Kernel = radial",NA,"Precision: TRUE -  0.69, FALSE - 0.68; Recall: TRUE -  0.65, FALSE - 0.72",NA
"11","2019-01-21 12:30:43",1,"Prediction","Method: SVM, Column name of reference value - dm_high_by_admission",NA,"Precision = NA, recall=0",NA
"12","2019-01-21 15:12:37",1,"Prediction","Method: SVM, Column name of reference value - dm_high_by_admission",NA,"Precision = NA, recall=0",NA
"13","2019-01-24 15:46:20",1,"Build the model","n-grams: 4; window: 10; min number: 20; similar terms count: 50; source file: .",NA,"","9.71"
"14","2019-01-24 15:56:30",1,"Add user simclin","",NA,"tumir",NA
"15","2019-01-24 15:56:37",1,"Add user simclin","",NA,"tumor ",NA
"16","2019-01-24 15:56:45",1,"System search similar terms for simclin","Simclin: tumir from category Tumor",NA,"0 similar terms found.","0.92"
"17","2019-01-24 15:56:46",1,"Update System Metrics","suggestedSimilarTerms","0","49",NA
"18","2019-01-24 15:56:46",1,"Update System Metrics","systemEfficacy","0","0",NA
"19","2019-01-24 15:56:46",1,"System search similar terms for simclin","Simclin: tumor from category Tumor",NA,"49 similar terms found ( 1 were deleted before by user as irrelevant or duplicate of obtained before): tumor cyst resection metastasis lobectomy excision duodenal abdominal_aortic_aneurysm adhesions metastatic mets metastases anastomosis gastrectomy internal meningioma colonic colectomy gastric cell_carcinoma osteopenia compression_fractures goiter av_fistula pseudoaneurysm carcinoma hiatal_hernia hemiarthroplasty cholecystectomy squamous_cell arthroplasty diverticulitis malformation hip_fracture adenocarcinoma lysis inguinal_hernia pubic left_sided_weakness status_post_cholecystectomy sbo craniotomy partial decompression aaa skull lumbar sigmoid uterine longstanding","0.45"
"110","2019-01-27 14:35:48",1,"Build the model","n-grams: 4; window: 10; min number: 20; similar terms count: 50; source file: .",NA,"","4.28"
"111","2019-01-27 14:46:32",1,"Select similar term as simclin","Selected similar term: metastasis",NA,"",NA
"112","2019-01-27 14:46:32",1,"Select similar term as simclin","Selected similar term: metastatic",NA,"",NA
"113","2019-01-27 14:46:33",1,"Select similar term as simclin","Selected similar term: metastases",NA,"",NA
"114","2019-01-27 14:46:33",1,"Select similar term as simclin","Selected similar term: mets",NA,"",NA
"115","2019-01-27 14:46:33",1,"Select similar term as simclin","Selected similar term: cell_carcinoma",NA,"",NA
"116","2019-01-27 14:46:33",1,"Update System Metrics","trueSimilarTerms","0","5",NA
"117","2019-01-27 14:46:33",1,"Update System Metrics","systemEfficacy","0","0.1",NA
"118","2019-01-27 14:46:39",1,"Update System Metrics","suggestedSimilarTerms","49","88",NA
"119","2019-01-27 14:46:39",1,"Update System Metrics","systemEfficacy","0.1","0.06",NA
"120","2019-01-27 14:46:38",1,"System search similar terms for simclin","Simclin: metastasis from category Tumor",NA,"39 similar terms found ( 12 were deleted before by user as irrelevant or duplicate of obtained before): metastasis involvement metastases numerous malformation fibrosis uterus skull infarcts loop sclerosis lymph_node hiatal_hernia mets osteopenia cyst humeral vasospasm pulmonary_nodules insufficiency cavernous compression_fractures malignant frontal_lobe corresponding obstructing cystic infarct cerebellum newly thoracic duodenal hemorrhagic mesenteric microvascular minor necrosis as_described_above diverticula scarring subdural_hematoma duplex hepatic gallstones dual subacute embolic emphysema cbd diverticulitis metastatic","0"
"121","2019-01-27 14:46:39",1,"Update System Metrics","suggestedSimilarTerms","49","72",NA
"122","2019-01-27 14:46:39",1,"Update System Metrics","systemEfficacy","0.1","0.07",NA
"123","2019-01-27 14:46:39",1,"System search similar terms for simclin","Simclin: metastatic from category Tumor",NA,"23 similar terms found ( 27 were deleted before by user as irrelevant or duplicate of obtained before): metastatic mets lymphoma adenocarcinoma tumor metastases ovarian squamous_cell carcinoma cll metastasis lobectomy cell_lung_cancer resection pancreatic cycles gastric sclerosis duodenal cyst melanoma diverticulitis stage thyroid involvement hiatal_hernia uterine cell_carcinoma cell abdominal_aortic_aneurysm colonic section malformation surgeries stricture ge_junction bronchiectasis medical_problems meningioma spinal_stenosis adhesions renal_disease metastatic_breast_cancer hodgkin pulmonary_fibrosis compression_fractures excision osteopenia lul esophageal","0"
"124","2019-01-27 14:46:39",1,"Update System Metrics","suggestedSimilarTerms","49","76",NA
"125","2019-01-27 14:46:39",1,"Update System Metrics","systemEfficacy","0.1","0.07",NA
"126","2019-01-27 14:46:39",1,"System search similar terms for simclin","Simclin: metastases from category Tumor",NA,"27 similar terms found ( 23 were deleted before by user as irrelevant or duplicate of obtained before): metastases diverticula metastasis hepatic pulmonary_nodules involvement loop mesenteric as_described_above could_represent cysts obstructing numerous cecum nodular infiltration uterus enhancing splenic fibrosis malignant without_evidence x_cm likely_represents heterogeneous lymph_node metastatic_disease cystic bony skull necrotizing inflammation intra_abdominal foci loculated acute_cholecystitis infarcts hemorrhagic parietal pulmonary_emboli stone segmental parenchyma malformation fatty films corresponding frontal_lobe largest microvascular","0"
"127","2019-01-27 14:46:39",1,"Update System Metrics","suggestedSimilarTerms","49","65",NA
"128","2019-01-27 14:46:39",1,"Update System Metrics","systemEfficacy","0.1","0.08",NA
